id,clinicId,shortName,location,address,suburb,addressFull,directions,lat,lng,lastUpdated,clinicStatus,hours,waitPeriod,waitPeriodDisp,shortNameClean,Accessible_Parking,Accessible_Toilets,Accessible_Mobility,Accessible_Auslan_EasyEnglish,Accessible_Assistance_Animals,Accessible_TIS_Available,Translated_Material,opening_hours,opening_hours_details,walk_in_hours_details,bookingsTable,walkinsTable,waitTimeYn
9,AUS01,Austin Hospital,Austin Health - Olivia Newton John Centre,145 Studley Road,Heidelberg,"145 Studley Road, Heidelberg",,-37.75664225,145.0592388,5/7/2021,Open,,-5,Wait time to be confirmed,Austin Hospital,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8am-8pm,,,Bookings accepted for ages under 60,Not accepting walk ins,No
10,AUS02,Heidelberg Repatriation Hospital,Austin Health - Heidelberg Repatriation Hospital (Acacia Clinic),300 Waterdale Road,Heidelberg Heights,"300 Waterdale Road, Heidelberg Heights",,-37.75592855,145.047419,4/16/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Heidelberg Repatriation Hospital,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8am-8pm. Walk ins accepted 8:30am-5:00pm,,Walk ins accepted 8:30am-5:00pm,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,No
18,BAL04,Horsham Community Clinic,Horsham Community Clinic,20 McLachlan Street,Horsham,"20 McLachlan Street, Horsham",Street parking available. Parking also available at the Library.,-36.71276305,142.2019099,6/10/2021,Open,,-5,Wait time to be confirmed,Horsham Community Clinic,,,,,,,,"Mon-Fri 9:30am-4pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
27,GOU03,Kilmore District Health,Kilmore District Health - Outpatients Building,1 Anderson Road,Kilmore,"1 Anderson Road, Kilmore",,-37.30103743,144.9573806,5/7/2021,Open,,-5,Wait time to be confirmed,Kilmore District Health,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon 8am-2:30pm, Tue 1pm-7:30pm, Wed-Thu 8am-2:30pm, Fri Closed, Sat 8am-2:30pm, Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
57,GOU06,Kyabram District Health Service,Kyabram District Health Service,86-96 Fenaughty Street,Kyabram,"86-96 Fenaughty Street, Kyabram",,-36.31506781,145.0420308,6/8/2021,Open,,-5,Wait time to be confirmed,Kyabram District Health Service,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,No,"Mon 8:30am-4pm, Tue-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
33,LAT06,Leongatha Community Clinic,Leongatha Community Clinic,66 Koonwarra Road,Leongatha,"66 Koonwarra Road, Leongatha",,-38.48738233,145.9512097,7/6/2021,Open,,-5,Wait time to be confirmed,Leongatha Community Clinic,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Tue 9am-3:30pm, Wed-Thu Closed, Fri 9am-3:30pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
50,C1902,Lilydale Community Clinic,EACH - Lilydale,18-22 Lakeview Drive,Lilydale,"18-22 Lakeview Drive, Lilydale",,-37.77551739,145.3574435,6/3/2021,Open,,-5,Wait time to be confirmed,Lilydale Community Clinic,No,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 8:30am-4pm, Sat-Sun Closed",,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
26,GOU02,Mansfield District Hospital - Anderson Hall,Mansfield District Hospital - Anderson Hall,10 Bank Place,Mansfield,"10 Bank Place, Mansfield",,-37.05332567,146.0890685,5/7/2021,Open,,-5,Wait time to be confirmed,Mansfield District Hospital - Anderson Hall,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Thu 9am-3:30pm, Fri-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
41,MON10,Alfred Hospital,Alfred Health - Alfred Hospital,55 Commercial Road,Melbourne,"55 Commercial Road, Melbourne",,-37.84553557,144.9819394,5/27/2021,Open,,-5,Wait time to be confirmed,Alfred Hospital,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 7:30am-4pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
59,WES12,Melton Vaccination Hub (indoor hub),Melton - Woodgrove,149-169 Barries Road,Melton West,"149-169 Barries Road, Melton West",,-37.678522,144.523656,,Open,,-5,Wait time to be confirmed,Melton Vaccination Hub (indoor hub),Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8:30am-4pm,,,Bookings accepted for all ages,Not accepting walk ins,No
61,WES15,Melton Vaccination Hub (Drive-thru),Melton - Woodgrove Drive-thru,149-169 Barries Road,Melton West,"149-169 Barries Road, Melton West",,-37.678522,144.523656,,Open,,-5,Wait time to be confirmed,Melton Vaccination Hub (Drive-thru),Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8:30am-4pm,,,Bookings accepted for all ages,Not accepting walk ins,No
24,BEN05,Kiarivu Barracks - Mildura,Kiarivu Barracks - Mildura,Cnr Twelfth Street and San Mateo Avenue,Mildura,"Cnr Twelfth Street and San Mateo Avenue, Mildura","Parking available along Twelfth Street. Accessible parking is located in an enclosed space next to the barracks, enter via San Mateo Street.",-34.19503922,142.1609054,6/18/2021,Open,,-5,Wait time to be confirmed,Kiarivu Barracks - Mildura,,,,,,,,"Mon Closed, Tue 9am-2pm, Wed Closed, Thu 9:30am-2:30pm, Fri 9am-2pm, Sat-Sun Closed. 13/08 Fri 09:30 – 14:30, 14/08 Sat 09:30 – 14:30","13/08 Fri 09:30 – 14:30, 14/08 Sat 09:30 – 14:30",,Bookings accepted for all ages,Not accepting walk ins,No
7,ALB08,Mount Beauty Vaccination Hub,Mount Beauty Vaccination Hub,2-8 Hollonds Street,Mount Beauty,"2-8 Hollonds Street, Mount Beauty",,-36.74319632,147.169342,7/2/2021,Open,,-5,Wait time to be confirmed,Mount Beauty Vaccination Hub,,Yes,Yes,Easy English available,Yes,Yes,Yes,"Mon Closed, Tue 10am-3:30pm, Wed-Sun Closed",,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
3,ALB03,Myrtleford Vaccination Hub,Myrtleford Vaccination Hub,30 O'Donnell Avenue,Myrtleford,"30 O'Donnell Avenue, Myrtleford",,-36.5542746,146.7293605,7/2/2021,Open,,-5,Wait time to be confirmed,Myrtleford Vaccination Hub,,Yes,Yes,Easy English available,Yes,Yes,Yes,"Mon-Tue Closed, Wed 10am-3:30pm, Thu-Sun Closed",,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
20,BAR02,Former Ford Factory,Former Ford Factory - Geelong,2-30 North Shore Road,Norlane (Geelong),"2-30 North Shore Road, Norlane (Geelong)",Enter via main entrance. Parking available on-site enter via North Shore Road.,-38.10075335,144.3618894,4/16/2021,Open,refer to the tables below for walk ins age limits,-5,Wait time to be confirmed,Former Ford Factory,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8:30am-3:30pm,,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
36,LAT09,Orbost Medical Centre,Orbost Regional Health - Orbost Medical Centre,104 Boundary Road,Orbost,"104 Boundary Road, Orbost",,-37.70187113,148.4655843,6/2/2021,Open,,-5,Wait time to be confirmed,Orbost Medical Centre,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Tue Closed, Wed 1:30pm-4pm, Thu-Sun Closed",,,Bookings accepted for ages under 60,Not accepting walk ins,No
58,X1904,Pakenham – James Bathe Community and Sports Hub,James Bathe Community and Sports Hub - Pakenham,67 Caversham Drive,Pakenham,"67 Caversham Drive, Pakenham",,-38.08016919,145.4430668,6/8/2021,Open,,-5,Wait time to be confirmed,Pakenham – James Bathe Community and Sports Hub,,,,,,,,"Mon-Fri 10am-5pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,Yes
62,BAR06,Portland District Health,Portland District Health,141-151 Bentinck Street,Portland,"141-151 Bentinck Street, Portland",,-38.3411991,141.6030011,,Open,,-5,Wait time to be confirmed,Portland District Health,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,No,"Mon-Thu Closed, Fri 8am-5pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
13,AUS07,Ringwood Community Clinic (Braeside Avenue),Ringwood East Community Clinic (Braeside Avenue),304A Maroondah Highway,Ringwood,"304A Maroondah Highway, Ringwood",Entry off Braeside Avenue.,-37.80815088,145.2422871,4/5/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Ringwood Community Clinic (Braeside Avenue),Yes,No,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 8:30am-4pm, Sat-Sun Closed",,,Bookings accepted for ages 60 and over,Walk ins accepted for ages 60 and over,Yes
32,LAT05,Gippsland Regional Sports Complex - Sale,Gippsland Regional Sports Complex - Sale,116 Cobains Road,Sale,"116 Cobains Road, Sale",,-38.08850606,147.0837583,5/19/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Gippsland Regional Sports Complex - Sale,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon 9:30am-3:30pm, Tue Closed, Wed 9:30am-3:30pm, Thu Closed, Fri 9:30am-3:30pm, Sat-Sun Closed. Additional opening hours: Thu 15 Jul and Thu 5 Aug 3:00pm-9:00pm - bookings only. Walk ins accepted 10:00am-2:30pm",Additional opening hours: Thu 15 Jul and Thu 5 Aug 3:00pm-9:00pm - bookings only,Walk ins accepted 10:00am-2:30pm,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,No
42,MON11,Sandringham Hospital,Alfred Health - Sandringham Hospital,193 Bluff Road,Sandringham,"193 Bluff Road, Sandringham",,-37.96097455,145.0181088,6/8/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Sandringham Hospital,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 9am-5pm,,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
56,GOU05,Seymour Health,Seymour Health,1 Bretonneux Street,Seymour,"1 Bretonneux Street, Seymour",,-37.01846689,145.138762,6/8/2021,Open,,-5,Wait time to be confirmed,Seymour Health,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,No,"Mon-Fri 9am-3pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
25,GOU01,Shepparton Showgrounds,Shepparton Showgrounds - McIntosh Centre,Cnr Thompson Street and High Street,Shepparton,"Cnr Thompson Street and High Street, Shepparton",,-36.3812391,145.4092218,4/30/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Shepparton Showgrounds,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon 9am-4:30pm, Tue 9am-8pm, Wed-Fri 9am-4:30pm, Sat-Sun Closed.  ",, ,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
15,AUS10,South Morang Plenty Ranges Arts and Convention Centre,South Morang Plenty Ranges Arts and Convention Centre,35 Ferres Boulevard,South Morang,"35 Ferres Boulevard, South Morang",,-37.64373675,145.0689919,6/15/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,South Morang Plenty Ranges Arts and Convention Centre,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8am-8pm,,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
48,WES05,Melbourne Convention and Exhibition Centre,Melbourne Convention and Exhibition Centre,1 Convention Centre Pl,South Wharf,"1 Convention Centre Pl, South Wharf",Parking available on-site enter via Normanby Road parking entry.,-37.82525725,144.9543903,4/16/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Melbourne Convention and Exhibition Centre,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8am-6:30pm,,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,No
44,MON13,Sandown Racecourse,Sandown Racecourse,591-659 Princes Highway,Springvale,"591-659 Princes Highway, Springvale","Free parking available on-site, with priority parking available. Enter via Princes Highway only (Gate 2). Nearest train station is Sandown Park (approx. 8 min walk (900m)). Nearest bus stop is Princes Highway/Racecourse Drive (bus route 800 – please note approx. 16min walk (1.3km) to Centre). Nearest train station is Sandown Park. Nearest bus stop is Princes Highway/Racecourse Drive (bus route 800).",-37.95018417,145.1665948,5/14/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Sandown Racecourse,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 9am-5pm,,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,No
46,WES01,Sunshine Hospital,Western Health - Sunshine Hospital,176 Furlong Road,St Albans,"176 Furlong Road, St Albans",,-37.75926655,144.8162539,4/16/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Sunshine Hospital,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8am-4:30pm,,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,No
29,LAT02,Traralgon Racecourse,Traralgon Racecourse,66-110 McNairn Road,Traralgon East,"66-110 McNairn Road, Traralgon East",,-38.19640858,146.5633801,3/5/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Traralgon Racecourse,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 9am-3:45pm, Sat-Sun Closed. Walk ins accepted 9:30am-2:30pm",,Walk ins accepted 9:30am-2:30pm,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,No
4,ALB05,Wangaratta Vaccination Hub,Wangaratta Vaccination Hub,53-61 Tone Road,Wangaratta,"53-61 Tone Road, Wangaratta",,-36.36292108,146.3053499,5/28/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Wangaratta Vaccination Hub,Yes,Yes,Yes,Easy English available,Yes,Yes,Yes,"Mon-Fri 9am-4pm, Sat-Sun Closed. Walk ins accepted 9:30am-3:00pm",,Walk ins accepted 9:30am-3:00pm,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
34,LAT07,The Goods Shed - Warragul,The Goods Shed - Warragul,Alfred Street,Warragul,"Alfred Street, Warragul",,-38.17236056,145.9277397,6/2/2021,Open,,-5,Wait time to be confirmed,The Goods Shed - Warragul,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon Closed, Tue 9am-3:30pm, Wed Closed, Thu-Fri 9am-3:30pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
21,BAR03,South West Healthcare Vaccination Centre,South West Healthcare Vaccination Centre (Old Sam’s Warehouse Building),184 Merri Street,Warrnambool,"184 Merri Street, Warrnambool","Free 2 hour parking Bayside City, Plaza Entrance, 24 Fairy Street. Free unlimited parking Warrnambool train station.",-38.38520725,142.4777994,5/7/2021,Open,refer to the tables below for walk ins age limits,-5,Wait time to be confirmed,South West Healthcare Vaccination Centre,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 9am-4:30pm, Sat-Sun Closed",,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
49,WES10,Wyndham City Civic Centre,Wyndham City Civic Centre,45 Princes Highway,Werribee,"45 Princes Highway, Werribee",,-37.8972701,144.6704506,7/14/2021,Open,,-5,Wait time to be confirmed,Wyndham City Civic Centre,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8:30am-4pm,,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
60,WES13,Werribee Mercy Hospital,Werribee Mercy Hospital,300-310 Princes Hwy,Werribee,"300-310 Princes Hwy, Werribee",,-37.8870532,144.6959244,,Open,,-5,Wait time to be confirmed,Werribee Mercy Hospital,,,,,,,,Mon-Sun 8am-4pm,,,Bookings accepted for all ages,Not accepting walk ins,No
